Observatory.ID;Longitude;Latitude
BelgiumCoast;3,20701;51,3643
Bodo;14,71173;67,24035
Crete;25,13661;35,34315
Eilat;34,93444;29,52
Galway;-9,67028;53,31569
Gdynia;18,57111;54,48522
Getxo;-3,01483;43,33845
GulfofPiran;13,5673;45,5188
Koster;11,10319;58,87516
Laeso;11,14193;57,25689
Limfjord;9,055167;56,90155
Plymouth;-4,1552;50,3674
RavennaH;12,2095;44,42149
RavennaM;12,28762;44,49243
Roscoff;-3,96649;48,71751
SWC;11,72833;57,68081
Svalbard;15,14472;78,18833
TZS;23,24888;59,84151
Toralla;-8,7787;42,2284
