"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Getxo_seaway","Getxo_geodesic","RavennaH_seaway","RavennaH_geodesic"
43.437715,5.19538,2025,3,"France","HUMAN_OBSERVATION",NA,NA,NA,2866,665,2171,585
48.491216,-2.004067,2024,1,"France","HUMAN_OBSERVATION",48.65,-2.04999999999999,18,824,595,4986,1197
43.438825,5.195091,2024,6,"France","HUMAN_OBSERVATION",NA,NA,NA,2866,665,2171,585
43.463132,5.223977,2024,10,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,6.15,2866,661,2171,588
43.463132,5.223977,2024,10,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,6.15,2866,661,2171,588
43.437885,5.19505,2023,11,"France","HUMAN_OBSERVATION",NA,NA,NA,2866,665,2171,585
47.5628,-2.84902,2022,5,"France","HUMAN_OBSERVATION",NA,NA,NA,469,470,4770,1225
43.489817,5.200922,2022,8,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,6.05,2866,661,2171,588
43.526414,5.06819,2022,9,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,10.77,2866,661,2171,588
43.50727,4.16641,2022,11,"France","HUMAN_OBSERVATION",43.45,4.15000000000001,6.51,2824,580,2243,667
53.1,4.7,2021,1,"Netherlands","HUMAN_OBSERVATION",53.15,4.65000000000001,6.49,1458,1229,5620,1119
43.535719,5.032886,2021,4,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,13.44,2866,661,2171,588
43.535372,5.032106,2021,4,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,13.45,2866,661,2171,588
43.48906,5.00186,2020,5,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,12.73,2866,661,2171,588
44.221828,12.386013,2018,2,"Italy","HUMAN_OBSERVATION",44.25,12.45,5.99,4577,1247,24,24
48.0897,-4.49269,2014,5,"France","HUMAN_OBSERVATION",48.15,-4.44999999999999,7.42,554,546,4735,1355
48.0897,-4.49269,2014,5,"France","HUMAN_OBSERVATION",48.15,-4.44999999999999,7.42,554,546,4735,1355
45.43244,1.01218,2012,10,"France","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
45.43244,1.01218,2012,10,"France","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
45.43244,1.01218,2012,10,"France","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
45.43244,1.01218,2012,10,"France","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
45.43244,1.01218,2012,10,"France","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
45.96088,-1.2146,2011,4,"France","HUMAN_OBSERVATION",45.95,-1.14999999999999,5.14,329,326,4800,1072
46.2687,-1.2835,2010,3,"France","HUMAN_OBSERVATION",NA,NA,NA,355,353,4802,1086
38.455162,23.579903,1970,NA,"Greece","HUMAN_OBSERVATION",38.55,23.55,10.87,4505,2289,1507,1140
43.2746,3.50721,1952,11,"France","HUMAN_OBSERVATION",NA,NA,NA,2789,529,2285,722
46.063611,30.470278,2019,9,"Ukraine","MATERIAL_SAMPLE",NA,NA,NA,Inf,2651,Inf,1430
40.36501,-3.651625,NA,NA,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA,NA,NA
